Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.62834,55.34036,55.37849,55.37849,55.37849,55.35383,NA
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.83599,57.56085,57.06414,43.86172,NA,NA,NA,NA,NA,NA
Guyana,NA,NA,NA,NA,49.77756,60.66914,NA,63.74833,NA,59.18517,NA,54.19797,61.10464,NA,NA,NA,NA,NA,NA,NA
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.90139,NA,NA,NA,NA,NA,NA
Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.23245,45.36575,45.60289,46.92066,NA,NA,NA,NA
India,NA,80.7404,NA,81.07953,80.79859,80.40198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.74183,NA,NA,NA,NA
Iran (Islamic Republic of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.67635,NA,64.75249,68.52021,65.30628,NA
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,59.01408,58.47985,60.92531,62.22967,64.08011,62.48625,63.2482,61.73774,58.80917,60.1274,58.25156,59.99921,57.54471,60.60144,59.6994,65.7599,64.81647,NA,NA,NA
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,56.20917,55.56939,55.56771,56.50529,55.00691,55.70972,59.51981,56.69304,56.76805,53.93546,54.94506,53.95896,52.98064,53.78934,54.23828,58.10308,60.47472,NA,NA,NA
Jamaica,NA,NA,57.6398,NA,72.88985,NA,NA,NA,72.69288,73.2052,NA,71.84955,76.43745,NA,69.52128,68.75745,69.19906,67.41326,64.57539,NA
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.15073,53.26694,59.07095,59.72999,57.84142,NA,NA,NA,NA
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.0351,59.94182,55.63838,50.81235,63.27583,66.0703,NA,NA,NA,NA,NA
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.46264,NA,NA,NA,NA,NA,NA,NA
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.48129,NA
