Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iran (Islamic Republic of),4588.82526,4462.22527,5690.3602,5612.2757,6597.24986,7709.1317,9714.77402,12241.26442,13693.52821,15603.06131,15358.18448,16974.24403,18488.71803,18372.5427,13093.91098,12153.95534,12987.62049,15880.89738,17957.83716,NA
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,4130.56081,4465.67124,5253.67081,6909.0535,8697.62102,9571.10914,10549.38261,12719.18898,14973.53157,14498.21375,13413.42073,13911.75768,12972.8678,12725.36833,12617.0256,10955.42069,11178.64969,NA,NA,NA
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,8096.77973,8338.20767,7832.32724,8061.74656,8053.32441,8209.32772,8873.15409,9846.64443,11962.37458,11399.43544,12952.48029,14555.6506,14658.78969,17221.31316,17931.62238,17590.92663,18681.35779,NA,NA,NA
Italy,49082.66543,54267.20238,56323.16958,71494.44811,79075.03285,78727.4559,88152.16038,90733.27056,105260.6798,99125.66616,92490.81932,94331.09868,84652.32,88729.03313,87688.55611,74787.70674,71576.566,NA,NA,NA
Jamaica,441.1163,483.50456,493.33934,412.66605,367.7582,468.61186,NA,653.44114,794.21017,847.98208,768.77106,827.21412,881.01082,925.08014,853.92839,755.74279,751.90003,740.21325,799.25987,NA
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227371.3044,185120.5019,NA,139856.572,NA,NA,NA
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1508.19182,1444.32722,1517.61072,NA
Kazakhstan,595.70122,NA,746.41567,NA,973.46268,1293.00945,2127.79365,2968.7055,3455.42181,3529.27498,NA,NA,NA,NA,NA,5141.82651,4088.28273,4588.52488,4691.43604,NA
Kenya,668.88187,661.46793,801.49587,853.84975,1013.0494,1180.69803,1320.99264,NA,NA,NA,2039.22652,2134.12055,2311.23242,2728.0264,2909.22438,3239.13277,3432.52341,3713.13953,4190.08054,NA
Kiribati,7.52296,7.56465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,NA,2483.70274,2285.52005,NA,2650,2816.42348,3038.0137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyrgyzstan,48.05395,58.78067,71.3782,85.88373,102.22675,119.90862,157.29241,245.91183,303.93523,292.31657,278.97564,420.86679,487.73841,497.32958,413.10543,399.72325,448.72064,464.19387,NA,NA
Lao People's Democratic Republic,26.03189,35.20053,49.67244,NA,57.10129,66.03876,102.16347,130.00071,124.04222,96.52584,121.87022,149.43904,185.63217,386.18946,389.80239,NA,NA,NA,NA,NA
