Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovenia,16888,17100,16949,15845,16456,16173,16405,16179,15790,15501,15251,15047,14915,14657,14369,14036,15351,NA,NA,NA
Solomon Islands,1337,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415,1680,1607,NA,NA,2202,NA,NA,NA,NA
Somalia,NA,NA,NA,NA,NA,NA,NA,4504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,147612,154960,146643,149046,149375,141562,158544,164990,168556,187162,NA,NA,NA,NA,NA,190022,192359,182937,NA,NA
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5974,NA,NA,NA,NA
Spain,285179,292759,281206,274801,276928,280030,282222,285033,284084,290569,294775,293861,290401,274393,276116,276487,286786,288074,NA,NA
Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149153,149886,NA,NA,NA,150320,151803,155628,NA
Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan (pre-secession),NA,51822,48600,48139,61814,63682,66104,79122,NA,82665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,NA,2731,2791,NA,NA,3296,3319,3373,NA,3549,3622,3692,4076,4086,4203,4569,NA,NA,NA,NA
